Concepts,Positive,Negative
thwarted,0,1
demoralised,0,1
down_in_the_mouth,0,1
despairing,0,1
desperate,0,1
discouraging,0,1
disapproving,0,1
repelling,0,1
skanky,0,1
disinclined,0,1
dislikable,0,1
distressing,0,1
distressful,0,1
disturbing,0,1
perturbing,0,1
troubling,0,1
worrisome,0,1
worrying,0,1
disquieted,0,1
disturbed,0,1
dear,1,0
devout,1,0
earnest,1,0
heartfelt,1,0
easy,1,0
edgy,0,1
high-strung,0,1
highly_strung,0,1
jittery,0,1
jumpy,0,1
nervy,0,1
overstrung,0,1
restive,1,0
uptight,0,1
electrifying,0,1
thrilling,1,0
awkward,0,1
embarrassing,0,1
sticky,0,1
unenviable,1,0
mortifying,0,1
humiliated,0,1
mortified,0,1
encouraging,1,0
bucked_up,1,0
encouraged,1,0
anticipant,1,0
anticipative,1,0
expectant,1,0
audacious,0,1
brave,0,1
dauntless,0,1
fearless,0,1
hardy,0,1
intrepid,0,1
unfearing,0,1
unafraid,0,1
feverish,0,1
hectic,0,1
antsy,0,1
fidgety,0,1
fretful,0,1
itchy,0,1
excusable,1,0
forgivable,1,0
venial,1,0
well-disposed,1,0
grateful,1,0
thankful,1,0
hopeful,1,0
hopeless,0,1
demeaning,0,1
humbling,0,1
humiliating,0,1
indifferent,0,1
insecure,0,1
detached,0,1
isolated,0,1
separated,0,1
set-apart,0,1
kind-hearted,1,0
dreamy,1,0
lackadaisical,0,1
languid,0,1
languorous,0,1
merciful,1,0
optimistic,1,0
peaceable,1,0
peace-loving,1,0
pensive,0,1
wistful,0,1
broody,0,1
contemplative,0,1
meditative,1,0
musing,1,0
pondering,0,1
reflective,0,1
ruminative,0,1
pessimistic,0,1
placid,0,1
quiet,0,1
still,0,1
smooth,1,0
unruffled,1,0
proud,0,1
abject,0,1
unhopeful,0,1
reverent,1,0
sanguine,1,0
reassuring,1,0
reassured,1,0
scandalmongering,0,1
sensationalistic,1,0
yellow,0,1
sensational,1,0
disgraceful,0,1
scandalous,0,1
shameful,0,1
shocking,1,0
ignominious,0,1
inglorious,0,1
opprobrious,0,1
sheepish,0,1
ashamed,0,1
solicitous,0,1
dumbstruck,1,0
dumbstricken,1,0
unconcerned,0,1
unfriendly,0,1
inimical,0,1
grand,1,0
marvellous,1,0
agitate,0,1
foment,0,1
stir_up,0,1
estrange,0,1
alienate,0,1
alien,0,1
disaffect,0,1
calm_down,1,0
tranquilize,1,0
tranquillize,1,0
tranquillise,1,0
quieten,1,0
lull,0,1
humiliate,0,1
mortify,0,1
humble,0,1
abase,0,1
root_on,1,0
commiserate,0,1
sympathize,0,1
sympathise,0,1
feel_for,0,1
condole_with,0,1
sympathize_with,0,1
confuse,0,1
flurry,0,2
disconcert,0,1
put_off,0,1
cool_down,1,0
bedaze,1,0
get_the_better_of,0,1
overcome,1,0
defeat,0,1
demoralise,0,1
disapprove,0,1
reject,0,1
discompose,0,1
untune,0,1
discomfit,0,1
discourage,0,1
gross_out,0,1
indispose,0,1
disincline,0,1
distress,0,1
allay,1,0
relieve,1,0
ease,1,0
embarrass,0,1
abash,0,1
encourage,1,0
tickle_pink,1,0
inebriate,0,1
beatify,1,0
expect,1,0
exuberate,1,0
forgive,1,0
hassle,0,1
chivy,0,1
chivvy,0,1
chevy,0,1
chevvy,0,1
beset,0,1
plague,0,1
molest,0,1
provoke,0,1
trust,1,0
desire,1,0
josh,1,0
turn_one's_stomach,0,1
plume,1,0
resign,0,1
reconcile,1,0
submit,0,1
idolize,1,0
idolise,1,0
hero-worship,1,0
revere,1,0
venerate,1,0
reassure,1,0
assure,1,0
touch,1,0
stimulate,1,0
shake,1,0
shake_up,1,0
excite,1,0
incite,1,0
instigate,0,1
set_off,1,0
inflame,0,1
wake,1,0
ignite,0,1
fire_up,0,1
stick,1,0
pose,2,0
hover,0,1
loom,0,1
bulk_large,0,1
apathetically,0,1
calmly,1,0
confusedly,0,1
dazzlingly,1,0
worryingly,0,1
painfully,0,1
distressingly,0,1
distressfully,0,1
seriously,0,1
earnestly,1,0
in_earnest,1,0
easily,1,0
embarrassingly,0,1
encouragingly,1,0
expectantly,1,0
fearlessly,1,0
dauntlessly,1,0
intrepidly,1,0
feverishly,0,1
appreciatively,1,0
gratefully,1,0
hopefully,1,0
dispiritedly,0,1
hopelessly,0,1
humiliatingly,0,1
demeaningly,0,1
impatiently,0,1
indifferently,0,1
insecurely,0,1
languorously,0,1
mercifully,1,0
optimistically,1,0
peaceably,1,0
pacifically,1,0
pensively,0,1
pessimistically,0,1
placidly,1,0
abjectly,0,1
resignedly,0,1
reverentially,1,0
reverently,1,0
reassuringly,1,0
sensationally,1,0
disgracefully,0,1
ingloriously,0,1
ignominiously,0,1
discreditably,0,1
shamefully,0,1
dishonorably,0,1
dishonourably,0,1
shamefacedly,0,1
solicitously,0,1
tenderly,1,0
tranquilly,1,0
unconcernedly,0,1
baby_deer,1,0
back_sofa,1,0
stink,0,1
garbage,0,1
hospital,0,1
park,1,0
store_trash,0,1
party,1,0
subway,0,1
bus_stop,1,0
kitchen,1,0
large,1,0
round,1,0
barbie_doll,1,0
mathematical,1,0
crotch,1,0
buy_condom,0,1
safe_sex,1,0
animate,1,0
live,1,0
alive,1,0
summer_weather,1,0
nice,1,0
serious_student,1,0
complete_assignment,1,0
artistic_expression,1,0
communism,1,0
communist,1,0
east,1,0
lot_person,1,0
tibet,1,0
earthquake,0,1
name,1,0
dictatorship,0,1
controversy,0,1
give_lecture,0,1
climb_mountain,1,0
broken_arm,0,1
golden,1,0
look,1,0
last_name,1,0
sailboat,1,0
strict,0,1
severe,0,1
ship_part,1,0
card_case,1,0
hold_card,1,0
identify_person,1,0
cell,0,1
replicate,1,0
please_person,1,0
sonnet,1,0
melodic_noise,1,0
lyrics,1,0
show,1,0
dance,1,0
contemporary,1,0
form_expression,1,0
enjoyable,1,0
lyric,1,0
sung,1,0
staff,1,0
complicate,0,1
spread_happiness,1,0
form_communication,1,0
record_album,1,0
like_poetry,1,0
change_mood,0,1
many_form,1,0
rhythm,1,0
hobby,1,0
enlightenment,1,0
harmony,1,0
relieve_stress,1,0
song,1,0
stop,1,0
leisure,1,0
play_violin,1,0
quiet_baby,1,0
play_piano,1,0
recreation,1,0
delight_sense,1,0
gift,1,0
artist,1,0
always,1,0
record_record,1,0
hip_hop,1,0
popular,1,0
radio,1,0
compact_disc,1,0
beethoven,1,0
art,1,0
classical,1,0
bach,1,0
street,1,0
man_make,1,0
disco,1,0
aphrodisiac,1,0
lift_spirit,1,0
entertainment,1,0
god,1,0
sound_beautiful,1,0
audience,1,0
dance_samba,1,0
written,1,0
wake_up_morning,1,0
good_soul,1,0
beautiful,1,0
noise,0,1
arts,1,0
pleasant,1,0
entertain,1,0
sing,1,0
form_art,1,0
art_form,1,0
make_happy,1,0
language,1,0
play_music,1,0
play_orchestra,1,0
important_person,1,0
record_sound,1,0
periodic,1,0
loud,0,1
simple_life,1,0
tone,1,0
profession,1,0
lullaby,1,0
pop,1,0
dancer,1,0
elevator,0,1
church,1,0
song_lyric,1,0
noisy,0,1
often,1,0
use,1,0
seduction,1,0
good_bad,0,1
common_language,1,0
opus,1,0
cassette,1,0
important_man,1,0
rhythmic,1,0
medium,1,0
written_paper,1,0
relax,1,0
club,1,0
play_guitar,1,0
gym,1,0
stereo,1,0
instrumental,1,0
hear,1,0
listen_pleasure,1,0
theater,1,0
universal_language,1,0
sound_wave,1,0
pass_time,1,0
sound,1,0
television,1,0
stolen,0,1
movies,1,0
intangible,0,1
voice,1,0
groove,1,0
make_person_happy,1,0
sing_song,1,0
beautiful,1,0
general_term,1,0
universal,1,0
written_note,1,0
general,1,0
diverse,1,0
listen_music,1,0
make_sound,0,1
rap,1,0
concert_hall,1,0
information,1,0
pretty,1,0
sound_out,1,0
like_song,1,0
doctor_office,0,1
perform_stage,0,1
creative_activity,1,0
note,1,0
speaker,1,0
best,1,0
heal,1,0
night_club,1,0
play_device,1,0
theatre,1,0
enjoyment,1,0
chart,1,0
band_play,1,0
form_think,1,0
form_entertainment,1,0
emotional_response,1,0
nothing,0,1
quiet_mind,1,0
rock_roll,1,0
subjective,1,0
singer,1,0
audio,1,0
noun,1,0
express_feeling,1,0
expression,1,0
sometimes,1,0
make_music,1,0
artistic,1,0
movie,1,0
pleasure,1,0
evoke_emotion,1,0
make_feel_good,1,0
therefore,1,0
because,1,0
together,1,0
four,1,0
think,1,0
live_long,1,0
make_better_world,1,0
sleep_pill,0,1
sleep_night,1,0
addictive,0,1
crutch,0,1
and,1,0
phenomenon,1,0
feel,1,0
influence,1,0
decoration,1,0
result,1,0
event,1,0
special,1,0
impact,1,0
end,0,1
source,1,0
make_change,1,0
cause,1,0
singular,1,0
consequence,0,1
reason,1,0
verb,1,0
belongings,1,0
change,1,0
action,0,1
implement,1,0
outcome,1,0
side,1,0
mean,0,1
get_divorce,0,1
child_cry,0,1
make_person_upset,0,1
emotional_distress,0,1
single,1,0
lawyer,1,0
pain,0,1
anguish,0,1
lie,0,1
contact_lawyer,0,1
bad_feeling,0,2
fight,0,1
end_marriage,0,1
hire_attorney,0,1
rich,1,0
end_relationship,0,1
child_suffer,0,1
two_person,1,0
stress,0,1
legality,1,0
end_argument,1,0
hire_lawyer,0,1
spouse,1,0
cheat_spouse,0,1
wife,1,0
tear,0,1
freedom,1,0
marry,1,0
cry,0,1
marriage,1,0
argue,0,1
locker,1,0
storage_place,1,0
storage,1,0
dress_room,1,0
door,1,0
combination,1,0
safe,1,0
metal_box,1,0
box,1,0
locker_room,1,0
storage_container,1,0
police_station,0,1
place,1,0
wand,1,0
rod,0,1
twig,1,0
magic,1,0
wank,1,0
ejaculation,1,0
strong,1,0
expensive,1,0
want,1,0
neediness,0,1
wish,1,0
desirable,1,0
yearn,0,1
damn,0,1
need,0,1
get_something,1,0
must,1,0
travel,1,0
money,1,0
get_lose,1,0
go_trip,1,0
go_elsewhere,1,0
mean_transportation,0,1
buy_ticket,1,0
arrive_destination,1,0
take_picture,1,0
leave,0,1
go_home,1,0
want_know,1,0
visit_friend,1,0
learn_world,1,0
move_around,1,0
wave_hello,1,0
take_bus,1,0
make_reservation,1,0
decide_want_go,1,0
car_home,1,0
arrival,1,0
return_home,1,0
live_life,1,0
choose_destination,1,0
make_arrangement,1,0
explore,1,0
pack_clothe,1,0
go_place,1,0
see_new_place,1,0
pack,1,0
see_world,1,0
adventure,1,0
buy_souvenir,1,0
vacation,1,0
flat_tire,0,1
ride_airplane,1,0
go_abroad,1,0
careful,1,0
ship_home,1,0
dangerous,0,1
gasoline,1,0
learn,1,0
see_different,1,0
experience_different_culture,1,0
go_airport,1,0
visit_parent,1,0
leave_home,0,1
go_back_home,1,0
plan,1,0
pack_bag,1,0
remember,1,0
come_back_home,1,0
better_life,1,0
wrong,0,1
incorrect,0,1
right,1,0
hard_define,0,1
know,1,0
morality,1,0
tulip,1,0
pink,1,0
elegant,1,0
animal_skin,0,1
needle,0,1
christmas_tree,1,0
stop_smoke,1,0
adjective,1,0
shape,1,0
after_exercise,1,0
person_be,1,0
look_good,1,0
attractive,1,0
feel_good,1,0
very,1,0
practice,1,0
eat_well,1,0
physical_condition,1,0
condition,1,0
wellness,1,0
clothe,1,0
health,1,0
adapt,1,0
juggle,1,0
compliment,1,0
active,1,0
healthy,1,0
body_type,1,0
seizure,0,1
feel_better,1,0
size,1,0
bite,0,1
push_up,1,0
lot,1,0
show_off,1,0
good_health,1,0
run_fast,1,0
impress_other_person,1,0
trim,1,0
look_better,1,0
feel_good_yourself,1,0
muscular,1,0
physical,1,0
doctor,0,1
belong,1,0
able,1,0
eat_right,1,0
clothe_style,1,0
overweight,0,1
lay,1,0
well,1,0
feel_satisfy,1,0
live_long_healthy_life,1,0
post_note,1,0
reminder,1,0
lick,0,1
make_right,1,0
process,1,0
set,1,0
screw,1,0
put_together,1,0
mend,1,0
stable,1,0
correct,1,0
make_better,1,0
repair_shop,1,0
join,1,0
prepare,1,0
solution,1,0
solve,1,0
mechanic,1,0
act,1,0
problem,0,1
fig,1,0
corridor,1,0
passage,1,0
disconnection,0,1
connect,1,0
unplug,1,0
halt,1,0
watch_sport,1,0
waste_time,0,1
play_pool,1,0
money_spend,1,0
pray,1,0
order_beer,1,0
get_waste,0,1
free_sex,0,1
lucky,1,0
fall,0,1
bar,1,0
loser,0,1
preach,1,0
absolutely,1,0
sex,1,0
kill_yourself,0,1
network,1,0
person_nothing_better,1,0
make_friend,1,0
wait,0,1
drunk,0,1
play_card,1,0
headache,0,1
life,1,0
else,1,0
sad_person,0,1
woman_breast,1,0
ride,1,0
cash,1,0
nice_person,1,0
get_lay,0,1
other_person,1,0
hangover,0,1
drunk_drive,0,1
meet_other_person,1,0
order_drink,1,0
find_interest,1,0
become_drunk,0,1
pick_up_woman,0,1
old_child,1,0
prepare_supper,1,0
tell_time,1,0
shoulder_responsibility,1,0
tie_shoelace,0,1
dress_themselves,1,0
burial,0,1
ceremony,1,0
death,0,1
funeral,0,1
cemetery,0,1
dead,0,1
dead_body,0,1
underground,0,1
bury,0,1
grave,0,1
ground,1,0
magnify_glass,1,0
see_far_away,1,0
great_invention,1,0
see_star,1,0
pilot_airplane,1,0
smirk,1,0
rude,0,1
lie_brick,1,0
tradesman,1,0
build_home,1,0
fat,0,1
see_through,1,0
estimate,1,0
how_much,1,0
guess,1,0
educate_guess,1,0
probability,1,0
evaluate,1,0
eskimo,1,0
liquid_gas,0,1
swim_pool,1,0
poisonous,0,1
pool,1,0
sort_clothe,1,0
clothe_clean,1,0
leave_house,0,1
spend_money,1,0
clean_clothe,1,0
dirty_clothe,0,1
cleanliness,1,0
meet_girl,1,0
dry,1,0
laundry,1,0
clothe_dirty,0,1
fart,0,1
boredom,0,1
dry_clothe,1,0
clean,1,0
quarter,1,0
meet_woman,1,0
dirty_laundry,0,1
long_island,1,0
luggage_compartment,1,0
handle,1,0
store_item,1,0
old_fashion,0,1
carry_object,1,0
carry,1,0
carry_clothe,1,0
carry_book,1,0
carry_item,1,0
tartar_control_toothpaste,1,0
medicine_cabinet,1,0
wal-mart,1,0
go_movie_theatre,1,0
smile,1,0
military,0,1
server,1,0
starve,0,1
order_pizza,1,0
master,1,0
control,1,0
pro,1,0
authority,1,0
owner,1,0
power,1,0
expert,1,0
guru,1,0
winner,1,0
lord,1,0
apprentice,1,0
leader,1,0
achieve,1,0
slave,0,1
slave_owner,0,1
boss,1,0
rank,1,0
teacher,1,0
scholar,1,0
slavery,0,1
genesis,1,0
power_screwdriver,1,0
home_improvement,1,0
hardware_store,1,0
make_hole,1,0
butt,0,1
lazy,0,1
busy,1,0
sit_around,0,1
feeling,1,0
not,0,1
important_human,1,0
not_fact,0,1
assertiveness,1,0
trait,1,0
self-confidence,1,0
behavior,1,0
crowd_cheer,1,0
win,1,0
team_win,1,0
know_how_play_baseball,1,0
babe_ruth,1,0
hero,1,0
skill,1,0
swing_bat,1,0
run_basis,1,0
error,0,1
play_baseball_game,1,0
point,1,0
person_cheer,1,0
win_baseball_game,1,0
person_run,1,0
score_point,1,0
personal_satisfaction,1,0
start_run,1,0
team_win_game,1,0
sexy,1,0
celebrate,1,0
extreme_elation,1,0
success,1,0
slide,1,0
batter,0,1
go_another_place_same_city_cheaply,1,0
ride_bus,1,0
plus,1,0
cremate,0,1
tell_joke,1,0
urinate,0,1
go_bathroom,1,0
feel_relief,1,0
need_pee,1,0
mess_clean_up,1,0
close_door,1,0
find_restroom,1,0
full_bladder,1,0
pull_down_pant,0,1
drink_lot_water,1,0
sit,1,0
dick,0,1
find_toilet,1,0
go_toilet,1,0
arrest,0,1
splash,1,0
pee,0,1
empty_bladder,0,1
wet_pant,0,1
burn,0,1
fluid,1,0
private_place,1,0
liquid,1,0
pressure,0,1
feel_relieve,1,0
aim,1,0
drink_much_beer,0,1
everyone,1,0
relief,1,0
avoid_accident,1,0
unzip_pant,0,1
dozen,1,0
count,1,0
fish_market,1,0
patient_person,1,0
suffer_fool,0,1
much,1,0
not_understand,0,1
say_excuse,1,0
sense,1,0
near_nose,1,0
skin,1,0
open,1,0
suck,0,1
verbal_communication,1,0
breath,1,0
body_organ,1,0
big,1,0
facial_organ,1,0
frown,0,1
belch,0,1
survival,1,0
fuck,0,1
yell,1,0
kiss,1,0
foot,1,0
orifice,1,0
organ,1,0
tooth,1,0
where_person,1,0
mastication,1,0
facial_feature,1,0
record_song,1,0
become_famous,1,0
male_female,1,0
clear_throat,1,0
soprano,1,0
sore_throat,0,1
create_music,1,0
use_microphone,1,0
vocal,1,0
scream,0,1
help,0,1
scary_movie,0,1
release_energy,1,0
speech,1,0
movie_title,1,0
human_noise,0,1
make_loud_noise,0,1
loud_cry,0,1
horror_movie,0,1
shriek,0,1
loud_shout,0,1
much_exercise,0,1
maintain_good_health,1,0
rest,1,0
ulcer,0,1
ailment,0,1
sore_stomach,0,1
stomach_pain,0,1
painful,0,1
letter,1,0
rick,0,1
man_name,1,0
heap,1,0
nickname,1,0
roll,1,0
status,1,0
lot_money,1,0
sleepy,0,1
much_money,1,0
wealth,1,0
tire,0,1
social_class,1,0
high_class,1,0
wealthy_person,1,0
social_status,1,0
immoral,0,1
own_lot,1,0
wealthy,1,0
amount_money,1,0
fortune,1,0
invest,1,0
not_work,0,1
high_calorie,0,1
lose,0,1
maggot,0,1
foodstuff,1,0
asian,1,0
cheap_food,1,0
cook_before_eaten,1,0
yummy,1,0
wed,1,0
white_color,1,0
eatable,1,0
brown,0,1
wedding,1,0
common,1,0
small,0,1
kernel,1,0
japanese,1,0
opaque,1,0
wheat,1,0
cereal_crop,1,0
friend_wed,1,0
food_grain,1,0
steam,0,1
staple,1,0
crop,1,0
ant,0,1
flavour,1,0
edible,0,0
plain,0,1
carbohydrate,1,0
seed,1,0
tasty,1,0
same,0,0
grain,1,0
grown_food,1,0
vietnam,0,1
food_item,1,0
shop,1,0
hold_object,1,0
carry_grocery,1,0
airport,1,0
stuff,1,0
put_stuff,1,0
hold,1,0
pretzel,1,0
hockey_game,1,0
sew,1,0
square,1,0
section,1,0
cover,1,0
improvement,1,0
clothe_repair,1,0
colorful,1,0
discipline,1,0
punish_child,0,1
parent,1,0
spank,0,1
teach,1,0
punishment,0,1
extend,1,0
continue,1,0
elongation,1,0
long,1,0
reach_out,1,0
far,0,1
exit,0,1
expansion,1,0
elongate,1,0
make_big,1,0
reach,1,0
beyond,1,0
stretch_out,1,0
grow_long,1,0
concept,1,0
god_creation,1,0
hard,0,1
vary,1,0
live_environment,1,0
violent,0,1
outdoor,1,0
divine,1,0
animal_plant,1,0
powerful_man,1,0
artificial,0,1
environment,1,0
peaceful,1,0
lovely,1,0
around,1,0
mother_father,1,0
peaceful_relax,1,0
destructive,0,1
itself,1,0
surround,1,0
unpredictable,1,0
important,1,0
green,1,0
everywhere,1,0
customer_service,1,0
organization,1,0
wallet,1,0
convenience,1,0
cut,0,1
shorten_hair,1,0
scratch,0,1
scrape,0,1
hack,0,1
copy,1,0
sharp_hurt,0,1
maim,0,1
take,1,0
division,0,1
break,0,1
abrasion,0,1
computer_term,1,0
slice_meat,1,0
hair,1,0
hurt_yourself,0,1
trim_hair,1,0
slash,0,1
knife,0,1
graze,1,0
separation,0,1
paste,1,0
bleed,0,1
violence,0,1
motion,1,0
hurt_person,0,1
copy_paste,0,1
bloody,0,1
done,1,0
tear_apart,0,1
painful_injury,0,1
use_scissor,1,0
injury,0,1
tell,1,0
lacerate,0,1
hurt,0,1
draw_blood,0,1
wound,0,1
laser,1,0
open_wind,1,0
slit,0,1
scar,0,1
sever,0,1
chop,0,1
laceration,0,1
nick,0,1
split,0,1
gash,0,1
hurtful,0,1
stab,0,1
blood,0,1
booboo,0,1
cause_bleed,0,1
halve,0,1
scissor,1,0
use_knife,0,1
band_aid,0,1
wind,1,0
learn_experience,1,0
find_out,1,0
pay_admission,0,1
pay,0,1
education,1,0
keep_child_occupy,1,0
out,1,0
amuse_child,1,0
little_money,0,1
feed_animal,1,0
take_child,1,0
something_to_do,1,0
put_walk_shoe,1,0
fatigue,0,1
look_map,1,0
child,1,0
see_animal,1,0
use_car,1,0
obey_rule,1,0
drive_home,1,0
wear_comfortable_shoe,1,0
feel_sad,0,1
entertain_child,1,0
extent,1,0
tyranny,0,1
anarchy,0,1
rule,1,0
government,1,0
synagogue,1,0
good_smell,1,0
hippie,1,0
smell_good,1,0
smell,0,1
restaurant,1,0
tavern,1,0
make_person_laugh,1,0
unexpected,1,0
think_funny,1,0
please,1,0
wit,1,0
comedian,1,0
imitation,1,0
laugh,1,0
popularity,1,0
make_joke,1,0
outgo_personality,1,0
humor,1,0
center_attention,1,0
feel_joy,1,0
punch_face,0,1
entertain_others,1,0
feel_happy,1,0
person_like,1,0
strange,1,0
good_time,1,0
give_pleasure,1,0
mind,1,0
happy_person,1,0
sense_humor,1,0
become_popular,1,0
make_other_person_happy,1,0
stage,1,0
become_happy,1,0
stomach_ache,0,1
laughter,1,0
person_buy,1,0
joke,1,0
come_back,1,0
get_happy,1,0
person_relax,1,0
funny,1,0
tell_funny_joke,1,0
play_instrument,1,0
blonde,1,0
hair_colore,1,0
color,1,0
colour,1,0
woman,1,0
smart,1,0
truthful,1,0
take_oath,1,0
own,1,0
buy_food,1,0
get_grocery,1,0
buy_newspaper,1,0
structure,1,0
construction_site,1,0
puerto_rico,1,0
union,1,0
band_together,1,0
represent,1,0
civil_war,0,1
holy_matrimony,1,0
work_group,1,0
come_together,1,0
group,1,0
democracy,1,0
title,1,0
algebra,1,0
unite,1,0
law,1,0
negotiate_contract,1,0
excuse,0,1
intersection,1,0
protect_yourself,0,1
workplace,1,0
harm,0,1
extra,1,0
almost,1,0
no_good,0,1
some,1,0
cost,1,0
measure,1,0
comparative,1,0
thank,1,0
adverb,1,0
addition,1,0
amount,1,0
increase,1,0
enough,1,0
too,1,0
tv_channel,1,0
comparison,1,0
measurement,1,0
volume,1,0
plenty,1,0
abundance,1,0
relative,1,0
many,1,0
much_much,1,0
large_amount,1,0
modifier,1,0
quantity,1,0
chew_tobacco,0,1
land_ground,1,0
open_mouth,0,1
make_person_angry,0,1
gross,0,1
cut_half,0,1
drink_poison,0,1
dry_mouth,0,1
insult,0,1
go_outside,1,0
drool,0,1
person_angry,0,1
offend_other_person,0,1
cough,0,1
dribble,1,0
make_noise,1,0
disease,0,1
run_water,1,0
lean_over,0,1
popular_vacation_destination,1,0
overprice,0,1
tourism,1,0
dave,1,0
spin,1,0
bridge,1,0
cross,0,1
dizzy,1,0
greet_card,1,0
similar,1,0
employ,1,0
job_offer,1,0
worker,1,0
pay_service,1,0
hire,1,0
destroy,0,1
stay_healthy,1,0
test_strength,1,0
healthy_activity,1,0
table,1,0
insert,1,0
turn,1,0
remove,0,1
pot_roast,1,0
oven,1,0
buy_coffee,1,0
run_out,0,1
pull,1,0
excruciate,0,1
dessert,1,0
pull_apart,0,1
chop_wood,1,0
whole,1,0
ice_cream,1,0
hurt_others,0,1
feel_remorse,0,1
furnace,0,1
after_lunch,1,0
last,0,1
after_dinner,1,0
meal_time,1,0
sunset,0,1
bad_choice,0,1
strong_desire,1,0
japanese_person,1,0
tip,1,0
sandwich,1,0
express_how_funny,1,0
cow_food,1,0
straw,1,0
make,1,0
natural,1,0
farm_crop,1,0
organic,1,0
beloved,1,0
worn_head,0,1
sport_goods_store,1,0
shade_sun,1,0
fly,1,0
something,1,0
brim,1,0
head_wear,1,0
head_protection,1,0
status_symbol,1,0
uniform,1,0
protect_head,1,0
head_cover,1,0
red,0,1
worn_foot,0,1
prevent_sunburn,1,0
hat_shop,1,0
